StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Kagiso Rabada,116,2,0000-00-00,false,Overseas,203,2019-100mb00000000116-dbd48930449611,35,GT,Gujarat Titans,203,35,2019-100mb00000000116-dbd48930449611,1,2,7,5,3,140.00,60.00,1.66,5.00,85.71,3.50,2,1,0,0,0,1,0,1,7.00,0,0,0,7*,-,0,0,1664
Deepak Hooda,215,2,0000-00-00,true,Indian,203,2019-100mb00000000215-f86e728844bc11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000215-f86e728844bc11,2,0,7,14,10,50.00,71.42,1.40,14.00,57.14,1.75,4,3,0,0,1,0,2,0,NA,0,0,0,4,3.50,1,0,1556
Rahul Tewatia,120,2,0000-00-00,false,Indian,203,2019-100mb00000000120-7489ddcc449711,35,GT,Gujarat Titans,203,35,2019-100mb00000000120-7489ddcc449711,2,0,6,2,1,300.00,50.00,2.00,2.00,100.00,6.00,1,0,0,0,0,1,2,0,NA,0,0,0,6,3.00,1,0,1749
Rashid Khan,218,2,0000-00-00,true,Overseas,203,2019-100mb00000000218-42d9d6f544bf11,35,GT,Gujarat Titans,203,35,2019-100mb00000000218-42d9d6f544bf11,1,1,6,4,3,150.00,75.00,1.33,4.00,100.00,6.00,1,0,0,0,0,1,1,0,NA,0,0,0,6,6.00,0,0,2885
Abhinav Manohar,974,3,0000-00-00,true,Indian,203,2022-100mb00000000974-314d9cf0a44611,20,SRH,Sunrisers Hyderabad,203,20,2022-100mb00000000974-314d9cf0a44611,3,0,6,13,8,46.15,61.53,1.62,0.00,0.00,1.20,5,4,1,0,0,0,3,0,NA,0,0,0,4,2.00,2,0,20589
Robin Minz,3103,2,0000-00-00,false,Indian,203,2024-100mb00000003103-5b0f0617df9711,17,MI,Mumbai Indians,203,17,2024-100mb00000003103-5b0f0617df9711,2,1,6,15,10,40.00,66.66,1.50,0.00,0.00,1.20,5,4,1,0,0,0,2,0,NA,0,0,0,3,3.00,0,0,20707
Kuldeep Yadav,14,2,0000-00-00,false,Indian,203,2018-100mb00000000014-227bc550e99c11,14,DC,Delhi Capitals,203,14,2018-100mb00000000014-227bc550e99c11,1,0,5,5,3,100.00,60.00,1.66,5.00,80.00,2.50,2,1,0,0,1,0,1,0,NA,0,0,0,5,5.00,0,0,261
Prabhsimran Singh,137,1,0000-00-00,true,Indian,203,2019-100mb00000000137-d774e3d1449c11,15,PBKS,Punjab Kings,203,15,2019-100mb00000000137-d774e3d1449c11,1,1,5,8,6,62.50,75.00,1.33,8.00,80.00,2.50,2,1,0,0,1,0,1,0,NA,0,0,0,5,5.00,0,0,5436
Moeen Ali,206,1,0000-00-00,false,Overseas,203,2019-100mb00000000206-501d92f644bb11,16,KKR,Kolkata Knight Riders,203,16,2019-100mb00000000206-501d92f644bb11,1,2,5,12,7,41.66,58.33,1.71,0.00,0.00,1.00,5,5,0,0,0,0,1,0,NA,0,0,0,5,5.00,0,0,1735
Sameer Rizvi,1229,1,0000-00-00,true,Indian,203,2022-100mb00000001229-0174f02b040d11,14,DC,Delhi Capitals,203,14,2022-100mb00000001229-0174f02b040d11,1,0,4,4,3,100.00,75.00,1.33,4.00,100.00,4.00,1,0,0,0,1,0,1,0,NA,0,0,0,4,4.00,0,0,20689
Tushar Deshpande,539,3,0000-00-00,false,Indian,203,2020-100mb00000000539-04833b65639b11,18,RR,Rajasthan Royals,203,18,2020-100mb00000000539-04833b65639b11,2,3,3,3,1,100.00,33.33,3.00,0.00,0.00,1.50,2,1,1,0,0,0,0,2,1.50,0,0,0,2*,-,1,0,3257
